Iteration,Ed25519_Verify_ms,Policy_Read_ms,OnChain_Decision_ms,Compute_Units
1,7.33,5.64,505.61,16064
2,0.23,3.15,1009.95,14564
3,0.46,3.55,1008.47,16064
4,0.22,3.17,1009.79,16064
5,0.22,3.01,505.71,16064
6,0.23,3.07,507.39,20564
7,0.22,3.20,506.02,16064
8,0.22,3.01,507.75,14564
9,0.22,2.99,506.81,16064
10,0.22,3.15,506.16,14564
11,0.28,3.11,509.07,14564
12,0.23,3.09,506.43,17564
13,0.32,2.97,506.88,17564
14,0.23,3.63,507.42,17564
15,0.23,3.16,506.33,14564
16,0.22,2.87,506.90,17564
17,0.23,3.11,506.80,14564
18,0.22,3.14,506.64,14564
19,0.22,3.08,507.15,16064
20,0.22,2.95,506.65,14564
21,0.21,3.05,1009.83,14564
22,0.22,3.82,1009.92,19064
23,0.22,3.16,1009.81,17564
24,0.42,7.78,1010.18,14564
25,0.22,3.78,1012.23,17564
26,0.22,3.53,1008.49,14564
27,0.22,5.04,507.76,14564
28,0.23,3.14,580.01,14564
29,0.22,2.92,507.41,17564
30,0.23,3.03,505.99,16064
31,0.22,3.12,506.35,14564
32,0.23,3.13,507.39,19064
33,0.22,3.01,507.61,19064
34,0.22,3.13,506.85,14564
35,0.22,2.99,506.28,14564
36,0.22,3.07,506.80,16064
37,0.22,3.06,505.50,14564
38,0.23,3.00,506.28,14564
39,0.32,3.65,1010.38,14564
40,0.22,3.61,1008.55,16064
41,0.33,3.75,1009.68,16064
42,0.32,3.74,1008.71,14564
43,0.24,3.45,506.97,17564
44,0.23,3.14,505.73,14564
45,0.24,3.30,506.91,16064
46,0.23,3.18,505.88,14564
47,0.23,3.19,506.98,14564
48,0.23,3.13,505.57,16064
49,0.34,3.19,507.40,14564
50,0.24,3.12,507.95,14564
51,0.24,3.20,508.68,16064
52,0.28,4.24,507.53,16064
53,0.24,3.31,507.58,14564
54,0.24,4.47,507.05,14564
55,0.23,3.04,506.52,14564
56,0.24,3.37,507.58,14564
57,0.36,3.93,507.38,16064
58,0.35,3.38,507.13,17564
59,0.26,3.49,506.58,14564
60,0.24,3.24,505.99,14564
61,0.30,3.86,507.01,17564
62,0.23,3.15,506.91,16064
63,0.30,3.08,505.85,17564
64,0.23,3.07,506.14,14564
65,0.22,3.34,1009.91,16064
66,0.35,4.24,507.34,14564
67,0.36,4.39,508.02,14564
68,0.24,3.19,507.95,16064
69,0.34,3.63,1012.12,20564
70,0.23,3.14,1009.47,14564
71,0.23,3.06,1010.45,16064
72,0.22,3.04,505.77,14564
73,0.22,3.06,506.75,14564
74,0.26,3.19,506.49,16064
75,0.22,3.52,506.74,14564
76,0.22,3.03,506.54,14564
77,0.22,3.22,515.26,14564
78,0.22,2.81,505.92,14564
79,0.23,2.99,506.72,14564
80,0.22,3.16,506.86,14564
81,0.23,2.97,506.23,16064
82,0.22,3.46,507.05,14564
83,0.23,2.97,507.01,14564
84,0.22,3.05,505.37,14564
85,0.33,3.03,507.38,20564
86,0.31,3.01,506.64,17564
87,0.32,3.22,1008.58,19064
88,0.32,3.20,1010.19,14564
89,0.29,4.09,1010.25,14564
90,0.23,3.00,1010.30,17564
91,0.22,3.04,505.76,14564
92,0.22,2.95,506.18,14564
93,0.22,3.17,506.09,14564
94,0.22,3.05,505.71,16064
95,0.38,6.59,507.42,22064
96,0.22,3.09,506.94,16064
97,0.23,3.11,507.35,14564
98,0.23,3.16,506.80,22064
99,0.23,3.22,510.16,17564
100,0.23,3.14,506.65,19064
