Iteration,Ed25519_Verify_ms,Policy_Read_ms,OnChain_Decision_ms,Compute_Units
1,3.92,4.13,15603.29,14562
2,0.31,3.35,17104.86,14562
3,0.24,3.37,15586.62,17562
4,0.24,3.82,15585.97,14562
5,0.23,2.98,16089.49,14562
6,0.24,3.69,15588.55,14562
7,0.23,3.08,15617.06,14562
8,0.23,3.18,16594.00,14562
9,0.40,3.91,15588.33,14562
10,0.23,3.24,15580.16,16062
11,0.36,3.59,15617.02,16062
12,0.23,2.96,16674.00,14562
13,0.34,10.33,15584.76,14562
14,0.23,3.09,15587.88,16062
15,0.23,3.18,18621.72,14562
16,0.22,2.96,17103.96,14562
17,0.23,3.25,17105.53,14562
18,0.23,3.26,18120.17,14562
19,0.31,2.91,17143.07,14562
20,0.23,2.95,17097.30,16062
21,0.22,3.03,18648.26,16062
22,0.23,3.17,17112.39,14562
23,0.23,3.13,16603.78,17562
24,0.40,4.32,18625.32,14562
25,0.24,3.34,17125.19,19062
26,0.28,2.96,17109.72,14562
27,0.23,3.12,18113.52,17562
28,0.23,3.09,17149.85,16062
29,0.23,3.32,17108.71,14562
30,0.23,3.14,18120.65,16062
31,0.25,3.26,17619.35,17562
32,0.22,3.45,17106.26,17562
33,0.24,2.99,18122.48,16062
34,0.25,3.43,17608.17,16062
35,0.29,3.67,17106.81,16062
36,0.36,4.29,17677.41,14562
37,0.25,4.03,17603.97,14562
38,0.23,3.22,17200.66,16062
39,0.24,3.25,17102.28,14562
40,0.23,3.49,17611.41,19062
41,0.34,4.20,16141.55,14562
42,0.23,4.06,15627.94,14562
43,0.48,4.20,16602.92,14562
44,0.23,3.32,15581.21,16062
45,0.26,4.12,15582.01,17562
46,0.23,3.11,16600.67,14562
47,0.34,4.38,15578.95,14562
48,0.23,3.17,15583.71,14562
49,0.32,4.52,17222.08,17562
50,0.23,3.18,15634.87,17562
51,0.24,3.22,15581.68,17562
52,0.25,3.04,16665.28,16062
53,0.23,3.15,15581.47,14562
54,0.33,5.80,15584.63,19062
55,0.23,3.00,16594.31,14562
56,0.28,3.95,15585.49,16062
57,0.23,3.15,15584.19,14562
58,0.39,3.64,16598.11,14562
59,0.23,3.48,15589.07,20562
60,0.24,3.19,15589.51,19062
61,0.23,3.64,16082.14,17562
62,0.25,3.65,16093.23,14562
63,0.26,3.21,15587.03,14562
64,0.32,3.59,16595.49,14562
65,0.26,3.43,15587.69,14562
66,0.23,3.01,15582.59,14562
67,0.23,3.59,15080.07,17562
68,0.23,3.14,18627.42,14562
69,0.24,3.48,16701.01,14562
70,0.23,3.18,17607.01,16062
71,0.23,4.05,18116.52,14562
72,0.32,3.08,18107.30,14562
73,0.34,3.17,17105.21,16062
74,0.23,3.07,18153.60,16062
75,0.34,3.34,16654.40,14562
76,0.23,3.06,17634.37,14562
77,0.22,2.88,18124.74,14562
78,0.23,3.11,16615.16,16062
79,0.33,6.00,17110.39,16062
80,0.33,6.36,18620.26,16062
81,0.23,3.58,17112.61,20562
82,0.23,3.13,17132.09,14562
83,0.23,3.05,17611.09,14562
84,0.23,4.52,17166.82,16062
85,0.23,3.32,17100.06,14562
86,0.23,3.07,18119.55,14562
87,0.34,4.69,17103.77,22062
88,0.23,3.23,17174.09,16062
89,0.23,3.20,17682.61,19062
90,0.23,3.26,17614.49,16062
91,0.27,2.93,17151.65,14562
92,0.23,2.74,17115.92,14562
93,0.23,3.16,18107.48,16062
94,0.23,3.29,17103.30,16062
95,0.23,3.17,16662.82,19062
96,0.31,3.39,18617.27,14562
97,0.23,3.13,17104.75,16062
98,0.23,3.24,17111.22,20572
99,0.23,3.13,18109.86,17572
100,0.23,3.23,17107.66,14572
